species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Tomato,BYB_Recording_2024-02-03_21.26.23,0.8278428262603372,0.790395054458145,0.7903950544581453,0.8159660484592937,0.9686616936459164,0.1482
Tomato,BYB_Recording_2024-02-03_21.30.34,-0.0956661633086031,0.693566576237399,0.693566576237399,0.7411901663928339,0.9357471370846626,0.6062
Tomato,BYB_Recording_2024-02-06_19.19.43,0.6342873225184753,0.220023539375843,0.22002353937584296,0.6791803414380774,0.32395451686656784,-1.2574
Tomato,BYB_Recording_2024-02-06_20.01.08,0.9629108920232179,0.3933775229500309,0.39337752295003087,0.5536513930864464,0.7105148255061094,0.784
Tomato,BYB_Recording_2024-02-12_20.26.05,0.8238372735829669,0.21061000579777575,0.21061000579777583,0.7326153992358905,0.28747690263873743,4.8418
Tomato,BYB_Recording_2024-02-19_18.44.04,0.9962896505259153,0.3378892342816653,0.3378892342816654,0.7059250096733957,0.47864749038710747,-1.4734
Tomato,BYB_Recording_2024-06-26_23.32.41,-0.019112104322031843,-0.1552688716816529,-0.15526887168165293,0.876896837817446,-0.1770662921628383,2.3156
Tomato,BYB_Recording_2024-06-26_23.54.25,0.5429798543453236,0.5880529488070846,0.5880529488070848,0.5885690946525854,0.999123049697665,-0.0534
Tomato,BYB_Recording_2024-06-27_00.22.45,0.9745245522891968,0.5068058288721351,0.5068058288721351,0.7542954412086988,0.671893002641006,1.2394
Tomato,BYB_Recording_2024-06-27_00.38.23,0.9227979017462978,-0.1170229401132289,-0.11702294011322888,0.2946508211813788,-0.3971580314761547,7.5662
Tomato,BYB_Recording_2024-07-05_16.48.00,0.42777977521541766,0.02209508392299031,0.022095083922990196,0.6853204863539507,0.03224051281545762,3.3944
Tomato,BYB_Recording_2024-07-05_16.51.56,0.9378347126358509,0.6538110409045133,0.6538110409045133,0.9196287392624652,0.7109510751358906,0.9858
Tomato,BYB_Recording_2024-07-09_15.12.30,-0.29340965080899706,0.9132551626614461,0.9132551626614459,0.9778253190911499,0.9339655507287136,0.5424392302102623
Tomato,BYB_Recording_2024-07-10_11.32.51,0.9524691410945504,0.39139875478249964,0.3913987547824995,0.841773347435466,0.4649692889124241,2.924075853824336
Venus Flytrap,BYB_Recording_2024-01-28_16.49.19,-0.7275005842255557,0.366311962035052,0.36631196203505173,0.6406024758893921,0.5718241433995019,0.4064
Venus Flytrap,BYB_Recording_2024-05-16_22.38.00,0.8591550838715268,0.2761619856943259,0.2761619856943259,0.8736645388499121,0.3160961369198574,-0.5376
